case,load_scale,p_demand_mw,q_demand_mvar,status,objective_eur_h,q_slack_mvar,p_slack_mw,losses_mw,v_min,v_max,max_line_loading_pct,p_g1_mw,q_g1_mvar,lambda_q_g1,g1_field_binding,g1_stator_binding,loc_g1_eur_h,p_g2_mw,q_g2_mvar,lambda_q_g2,g2_field_binding,g2_stator_binding,loc_g2_eur_h,p_g3_mw,q_g3_mvar,lambda_q_g3,g3_field_binding,g3_stator_binding,loc_g3_eur_h,p_g4_mw,q_g4_mvar,lambda_q_g4,g4_field_binding,g4_stator_binding,loc_g4_eur_h
free,1.2743589743589743,57.01756038461538,14.06891680511115,optimal,4046.895511275031,10.428176155923783,48.900441294371205,0.2770623898264972,1.0072921741625742,1.0500000103571296,64.66984046044261,4.254801491126074,3.8038076214057175,2.4449114212504023e-09,False,False,0.0,2.069073469186316,0.6932286048082011,-4.001122966897625e-10,False,False,0.0,1.3461367156925117,4.094379374989393,0.13165889615249324,True,False,262.77042990152415,0.7241698040657691,0.5907985740477312,-7.981221940037718e-10,False,False,0.0
free,1.3025641025641028,58.27951846153847,14.38030128168303,optimal,4137.846019750051,10.794291777954786,48.82093085620986,0.2962052105201707,1.0057344182018289,1.0500000104354748,69.65629370104394,4.744335087853457,3.658962845440431,2.5560762918309332e-09,False,False,0.0,2.114891958075233,0.7099631884485512,-3.545644455463021e-10,False,False,0.0,2.0898725021117754,3.9590987531530963,0.23674065960580615,True,False,210.7089248521757,0.8056932678083105,0.8161104117449302,1.9638965643783568e-10,False,False,0.0
free,1.330769230769231,59.54147653846154,14.691685758254907,optimal,4229.6798026059305,11.399934861309857,48.6830721093085,0.3160642509988705,1.0040021176767497,1.0500000104626275,73.61572699102842,5.313844098328949,3.4756512050387567,2.746571692869464e-09,False,False,0.0,2.1607114354880674,0.7266992612124205,-3.097814458007301e-10,False,False,0.0,2.9427555627291806,3.7378090513159674,0.34889176488306417,True,False,151.00711060895733,0.7571575836057196,0.9288052539104368,5.70674486310951e-10,False,False,0.0
free,1.358974358974359,60.80343461538461,15.00307023482678,optimal,4322.690070539193,12.29771547258623,48.464071424738705,0.3382140706987542,1.0020370457675232,1.0500000104763425,76.4135240714556,5.988690080814912,3.2436722566720064,3.1407528477296787e-09,False,False,0.0,2.2065317290543756,0.7434365742750322,-2.6565575795980097e-10,False,False,0.0,3.916194836209629,3.3903887307708374,0.486893592586264,True,False,82.86636146532594,0.5661606152657349,0.9287087823492343,3.4289891298780106e-10,False,False,0.0
free,1.3871794871794871,62.06539269230769,15.314454711398657,optimal,4417.062334867153,13.26664917571136,48.207842148191645,0.3762854243924849,0.99995369781397,1.0500000104836102,80.62659490791681,6.710259623987852,2.9971641067221606,4.17406964150746e-09,False,False,0.0,2.252353541107711,0.7601760421605888,-2.2208300938628797e-10,False,False,0.0,4.821222623242655,2.9628276520697177,0.6715623851831973,True,False,19.5144163730141,0.4500001801703265,0.9694981593449946,3.705591334095905e-10,False,False,0.0
free,1.4153846153846152,63.32735076923076,15.625839187970534,optimal,4513.308952864862,14.409374519101858,47.87870038886646,0.4324976496284805,0.9975861594624112,1.050000010485758,85.33927529403437,6.800000062166789,3.2304510823533645,6.631652585463294e-09,False,False,0.0,3.054255707835777,0.2516292938251196,-4.4819935387837166e-10,False,False,0.0,5.1000000464984,2.808827841826475,0.8092277010327056,True,False,0.0,0.9268922134918175,0.6318861248692905,-3.273130974679219e-10,False,False,0.0
free,1.4435897435897438,64.58930884615386,15.937223664542412,optimal,4612.468250990378,15.648812530032023,47.488047879136715,0.5255139925889409,0.9949544577054518,1.0500000104881417,91.19405294564822,6.800000065434312,3.5734543781921446,1.7799781955968518e-08,False,False,0.0,4.05948395342237,-0.3910973701547597,-8.552387696447483e-10,False,False,0.0,5.100000049207067,2.8092139485068333,0.9570154444450912,True,False,0.0,1.66729089154231,0.11198756281859461,-1.1296061399141064e-09,False,False,0.0
free,1.471794871794872,65.8512669230769,16.24860814111429,infeasible,4668.664397475673,16.57883860830552,47.171412268445664,0.020145532373888386,0.99433755941681,1.050000010499951,99.79893934908031,6.800000068001847,3.7059008788143513,3.3031004859871175e-09,False,False,0.0,4.250000042501673,-0.4730755515720156,1.6142421432180032e-07,False,False,0.0,5.100000051001189,2.8096430305517157,72.05140978246435,True,False,0.0,2.550000025500417,-0.5080516587068711,6.584419202226646e-07,False,False,0.0
free,1.5,67.113225,16.559992617686163,infeasible,4666.7779313309575,16.667830685534522,47.14004078522363,-1.2731840274726665,0.9944408785960859,1.050000010496471,99.98342812083305,6.8000000681095205,3.7445676332273043,60.63114614395834,True,False,0.0,4.250000042592093,-0.40857803388558794,-1.4827675674295586e-06,False,False,0.0,5.100000051075349,2.809697748585852,72.68651182314272,True,False,0.0,2.550000025526746,-0.40438530651649257,1.3270506585914236e-05,False,False,0.0
assumed,0.4,17.89686,4.415998031382977,optimal,1270.3940330096675,4.6198672503375064,14.583081445317426,0.01724909330623703,1.0152738845431801,1.03,16.214438292264518,1.2310276543046423,0.00711967646289305,4.05990975853655,False,False,0.0,0.7500000112058312,0.007327873223425885,4.1375405775442395,False,False,0.0,0.8999999913410766,0.006124531675475804,3.6559812553587805,False,False,0.0,0.44999999113725825,0.006236236004908961,3.704111858111411,False,False,0.0
assumed,0.42820512820512824,19.158818076923076,4.727382507954854,optimal,1360.21372986283,5.017686184776646,15.707309031706359,0.018635599482145437,1.0138254327799887,1.03,16.006089205333417,1.3701445577219848,0.007297129647342866,4.126221628587785,False,False,0.0,0.7500000997579828,0.007532292784079952,4.211546849823693,False,False,0.0,0.8999999939034817,0.0061573998675664805,3.670218265857707,False,False,0.0,0.4499999933154152,0.006278748314788862,3.7222402392202953,False,False,0.0
assumed,0.45641025641025645,20.420776153846155,5.038766984526731,optimal,1450.067515234535,5.422199900405937,16.83163434048743,0.020175031874629212,1.0123665081012485,1.03,15.79858313353038,1.5093155334412878,0.0074812367156880406,4.193266145543095,False,False,0.0,0.7500013241373782,0.00774524416334225,4.286357127592174,False,False,0.0,0.8999999941357536,0.006190897909021384,3.6846637542204714,False,False,0.0,0.44999999351893627,0.006322050120208766,3.7405985584081947,False,False,0.0
